Journal,Title,Link,Independent Variables,Dependent Variables,Metrics,Useful Search Terms,Potential Moderator Variables,Keep?,Reason for Keeping/Discarding,
ISPR,Cubes in the Cube: A Comparison of a Puzzle-Solving Task in a Virtual and a Real Environment,http://www.temple.edu/ispr/prev_conferences/proceedings/98-99-2000/2000/Axelsson%20et%20al.pdf,,,,,,NO,Already included from Cyberpsych,
ISPR,The Networked Minds Measure of Social Presence: Pilot Test of the Factor Structure and Concurrent Validitiy,http://www.temple.edu/ispr/prev_conferences/proceedings/2001/Biocca2.pdf,,,,,,NO,Already rules out in cyberpsych,
ISPR,"The Effect of the Agency and Anthromorphism on Users' Sense of Telepresence, Copresence, and Social Presence in Virtual Environments",http://www.temple.edu/ispr/prev_conferences/proceedings/2001/Nowak%20and%20Biocca3.pdf,,,,,,NO,Already included from presence,
ISPR,Collaboration in a Mediated Haptic Environment,http://www.temple.edu/ispr/prev_conferences/proceedings/2002/Final%20papers/Jordan%20et%20al.pdf,,,,,,Yes,Note: only representation of other person is through their pointer,
ISPR,The Pleasure of Being. An Explorative Study into the Effects of Presence and Identification on the Enjoyment of an Interactive Theatrical Performance using Omni-Directional Video,http://www.temple.edu/ispr/prev_conferences/proceedings/2011/Decock_etal.pdf,,,,,,Yes,,
ISPR,"Defining and Differentiating Copresence, Social Presence and Presence as Transportation",http://www.temple.edu/ispr/prev_conferences/proceedings/2001/Nowak1.pdf,,,,,,Yes,,
ISPR,Computers as Social Actors: Testing the Fairness of Man and Machine,"http://www.temple.edu/ispr/prev_conferences/proceedings/2002/Final%20papers/David,%20Lu,%20Cai.pdf",,,,,,NO,"Only ""avatar"" used was a picture of a man. Not interactive.",
ISPR,Positive Feedback Messages and Role of Presence during Exercise Video Game Play,http://www.temple.edu/ispr/prev_conferences/proceedings/2012/18_KimEtAl.pdf,,,,,,NO,Nothing changed about other characters,
ISPR,Comparing Behavioral and Self-Report Measures of Embodied Agents' Social Presence in Immersive Virtual Environments,"http://www.temple.edu/ispr/prev_conferences/proceedings/2004/Bailsenson,%20Aharoni,%20Beall,%20Guadagno,%20Dimov,%20Blascovich.pdf",,,,,,Yes,,
ISPR,Augmenting Group Presence: A Study with Activity Feedback,http://www.temple.edu/ispr/prev_conferences/proceedings/2008/martino.pdf,,,,,,NO,Nothing changed about other characters,
ISPR,"Construct Validation of the concepts Social Presence, Emotional Presence and Connectedness and an Application of Zajonc's Social Facilitation Theory to Social Presence Research","http://www.temple.edu/ispr/prev_conferences/proceedings/2007/Abeele,%20Roe,%20Pandelaere.pdf",,,,,,NO,"NO simulation of other characters, only a picture of them",
ISPR,Measuring Telepresence: The Validity of The Temple Presence Inventory in a Gaming Context,http://www.temple.edu/ispr/prev_conferences/proceedings/2011/Lombard_etal.pdf,,,,,,YES,,
ISPR,"Presence, Participation, and Political Text-on-Television: Testing a Converged Technology",http://www.temple.edu/ispr/prev_conferences/proceedings/2009/Bucy_et_al.pdf,,,,,,NO,No visual representation of others,
ISPR,Who's There? Can a Virtual Agent Really Elicit Social Presence?,http://www.temple.edu/ispr/prev_conferences/proceedings/2009/vonderPutten.pdf,,,,,,YES,,
ISPR,Moderating Effects of Social Presence on Behavioral Conformation in Virtual Reality Environments: A Comparison between Social Presence and Identification,http://www.temple.edu/ispr/prev_conferences/proceedings/2009/Jung.pdf,,,,,,NO,"No manipulation of other, only of self",
